,Dist Code,prec_grow_av,prec_harvest_av,et_grow_av,et_harvest_av,maxT_grow_av,maxT_harvest_av,minT_grow_av,minT_harvest_av,windspeed_grow_av,windspeed_harvest_av,KM5_clusterN_(maxT_growth_maxT_harvest)
0,1,239.60630769230767,2.7582692307692303,113.75353846153845,45.45788461538462,32.092307692307685,28.857115384615383,24.13576923076922,14.75423076923077,1.6582538461538465,0.6992884615384616,4
26,2,267.67400000000004,11.752500000000001,113.22369230769232,53.21,29.513384615384624,27.717499999999998,21.95123076923077,13.415576923076921,1.7553307692307691,0.8499615384615384,4
52,3,249.85438461538465,2.984230769230769,114.01030769230766,46.13153846153846,32.234923076923074,28.744423076923077,24.147461538461535,15.015576923076924,1.5968076923076922,0.6906538461538462,4
78,5,501.73746153846145,6.049615384615383,112.25807692307694,53.816538461538464,30.964999999999996,29.53288461538462,24.012076923076922,16.800192307692306,2.009953846153846,1.0323653846153849,7
104,6,247.98969230769228,2.6155769230769224,103.14423076923077,40.81134615384615,30.2373076923077,25.516346153846158,22.258615384615386,11.313461538461537,1.3209692307692305,0.6711923076923078,4
130,7,228.69299999999996,6.128846153846154,101.62023076923077,39.24961538461538,31.808538461538458,27.788269230769234,23.42792307692308,11.470384615384614,1.4702384615384614,0.6337499999999999,4
156,8,275.31807692307694,5.381153846153846,107.12692307692308,46.73538461538461,30.65338461538462,27.39365384615385,22.693307692307695,12.190384615384612,1.6523153846153846,0.7318653846153846,4
182,9,220.50769230769234,7.239230769230768,107.13753846153847,39.46384615384615,30.05723076923077,27.490576923076922,22.177461538461536,12.233653846153846,1.8622692307692306,0.8521538461538459,4
208,10,212.95661538461536,5.517115384615384,104.02246153846153,36.88134615384616,31.75884615384615,27.905000000000005,23.588461538461544,12.939807692307692,1.6501538461538463,0.7216153846153845,4
234,11,224.08746153846158,6.894230769230769,106.46100000000001,41.90423076923077,30.929,27.798846153846164,22.74384615384615,12.357307692307693,1.686461538461539,0.749346153846154,4
260,12,259.1469230769231,5.123846153846153,102.91515384615384,39.95192307692309,30.722923076923074,27.445769230769223,22.447076923076924,10.764615384615384,1.5163461538461542,0.6670192307692309,4
286,13,219.5459230769231,6.0536538461538445,105.0736153846154,32.670576923076915,32.143692307692305,27.052115384615384,23.724615384615383,13.37307692307692,1.5708692307692307,0.7251346153846152,4
312,14,212.1033076923077,5.071923076923077,103.59592307692307,33.37423076923077,32.49884615384616,27.729807692307688,23.98330769230769,12.424230769230768,1.4612384615384615,0.6265,4
338,15,174.48238461538463,5.336346153846154,103.98446153846156,25.127307692307696,33.79407692307693,27.604807692307684,24.59753846153846,11.346153846153847,1.3801615384615384,0.5910384615384616,4
364,16,192.01584615384616,5.305000000000001,104.13261538461536,30.77653846153847,33.64123076923077,27.57923076923077,24.563307692307692,11.142500000000002,1.3411846153846152,0.5595384615384614,4
390,17,196.7862307692308,4.9907692307692315,102.88161538461542,34.92076923076924,32.85946153846154,27.579615384615373,24.153,11.05019230769231,1.3144153846153845,0.5422884615384616,4
416,18,169.2576153846154,3.871346153846154,99.61446153846154,34.177884615384606,33.364000000000004,27.851923076923075,24.897615384615392,11.802500000000002,1.1412461538461538,0.48815384615384616,4
442,19,177.9331538461538,3.8567307692307695,99.41453846153847,33.85769230769231,32.65053846153846,27.389230769230764,24.339846153846153,11.67019230769231,1.1642615384615385,0.5170192307692308,4
468,20,180.4398461538462,4.575192307692307,101.02161538461536,35.96634615384615,32.88461538461537,27.793461538461546,24.322000000000006,11.155961538461542,1.207953846153846,0.5120192307692307,4
494,21,193.31469230769233,3.289807692307692,99.88892307692308,38.92076923076923,31.99438461538461,27.44673076923077,23.74523076923077,11.674038461538458,1.2369846153846151,0.5596538461538463,4
520,22,175.68184615384615,3.730384615384615,106.72561538461538,29.76076923076922,34.029923076923076,27.41192307692308,25.226153846153842,10.378846153846155,1.443184615384615,0.6325000000000001,4
546,23,166.84976923076923,5.536153846153846,103.06992307692306,31.61711538461538,33.479,27.775961538461537,24.23607692307692,10.776923076923076,1.4871615384615384,0.7137307692307693,4
